"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","189,09","192,00","192,05","187,76","62,14K","-1,52%"
"30/12/2019","192,00","184,86","192,00","183,67","6,66K","-0,53%"
"27/12/2019","193,03","193,03","193,03","193,03","2,87K","0,51%"
"26/12/2019","192,05","184,86","192,05","184,86","2,04K","0,00%"
"25/12/2019","192,05","192,05","192,05","189,09","5,39K","0,00%"
"24/12/2019","192,05","187,12","192,05","187,12","69,51K","2,63%"
"23/12/2019","187,12","182,20","187,12","182,20","6,19K","1,06%"
"20/12/2019","185,15","185,64","187,12","185,15","145,69K","-0,26%"
"19/12/2019","185,64","185,64","185,64","185,64","0,06K","0,00%"
"18/12/2019","185,64","180,23","185,64","180,23","3,29K","3,00%"
"17/12/2019","180,23","181,70","181,70","180,23","10,52K","-0,11%"
"16/12/2019","180,42","180,42","180,42","180,42","0,18K","0,00%"
"13/12/2019","180,42","180,42","180,42","180,42","0,36K","-1,03%"
"12/12/2019","182,30","184,17","184,17","180,42","1,89K","0,05%"
"11/12/2019","182,20","180,57","184,17","180,33","424,36K","1,09%"
"10/12/2019","180,23","182,20","183,18","180,23","2,50K","0,00%"
"05/12/2019","180,23","183,18","183,18","180,23","2,25K","-1,35%"
"03/12/2019","182,69","189,09","189,09","182,69","4,57K","0,00%"
"02/12/2019","182,69","188,55","188,55","182,69","2,55K","-2,37%"
"29/11/2019","187,12","188,60","189,04","187,12","437,48K","-1,04%"
